,BG,IP,EA,PAH DPO,smiles,no_longest,SDPO
C61011,2.6478051,5.4648564,2.8170513,2.93,c12c(cc3c(c1)c1c(cc3)ccc3c1cccc3)cc1c(c2)cccc1C#N,sa,((sa*1))*(1/1)
C6193,3.9506199,6.0632043,2.1125844,0.58,c1cc2c(cc1)c1c(cc2)c2c(cc1)c1c(ccc(c1)C#N)c1ccccc21,sa,((s)+(s)+(s)+(s)+(sa*1))*(1/5)
C62.5,2.274756,5.2757469,3.0009909,3.45,c12c(cc3c(c1)c1c(c(c3)C#N)cccc1)cc1c(c2)cc2c(c1)cccc2,sa,((sa*1))*(1/1)
C595,3.257037,5.809335,2.552298,2.03,c12c(cc3c(c1)c1c(cc3)cc(c3c1cccc3)C#N)cccc2,s,((s))*(1/1)
C6306,3.4298205,5.8164096,2.3865891,1.78,c1cc2c(cc1)cc1c(c2)c2c(cccc2)c2c1c1c(c(ccc1)C#N)cc2,s,((s))*(1/1)
C6305,3.4643772,5.7905601,2.3261829,1.78,c1cc2c(cc1)cc1c(c2)c2c(cccc2)c2c1c1c(cccc1)cc2C#N,s,((s))*(1/1)
C62.8,2.2260501,5.3375136,3.1114635,3.45,c12c(cc3c(c1)c1c(cc3)cccc1)c(c1c(c2)cc2c(c1)cccc2)C#N,sa,((sa*1))*(1/1)
C436,3.8635479,6.0849723,2.2214244,1.08,c1ccc2c(c1)c1c(cc2)c2c(cc1)cccc2C#N,sa,((sa*1)+(s)+(s))*(1/3)
C5118,2.761815,5.6395446,2.8777296,2.6,c12c(cc3c(c1)c1c(cc3)cccc1)c(c1c(c2)cccc1)C#N,sa,((sa*1))*(1/1)
C6254,3.8292633,6.0463341,2.2170708,1.17,c1c(c2c(cc1)c1c(cc2)ccc2c1c1c(cccc1)c1ccccc21)C#N,sa,((s)+(s)+(s)+(s)+(sa*1))*(1/5)
C6296,3.6485889,6.0275592,2.3789703,1.17,c1cc2c(cc1)c1c(cc2)c2c(c(c1)C#N)ccc1c2ccc2c1cccc2,sa,((s)+(s)+(sa*1)+(sa*1)+(s))*(1/5)
C62.4,2.3245503,5.2060893,2.881539,3.45,c12c(cc3c(c1)c1c(cc3)c(ccc1)C#N)cc1c(c2)cc2c(c1)cccc2,s,((s))*(1/1)
C61911,3.8042301,5.997084,2.1928539,0.58,c1cc2c(c(c1)C#N)c1c(cc2)c2c(cc1)c1c(cccc1)c1ccccc21,sa,((s)+(s)+(s)+(sa*1)+(s))*(1/5)
C6231,3.3680538,5.869197,2.5011432,1.78,c1cc2c(cc1)c1cc3c(cc1cc2)c1c(ccc2c1cccc2)cc3C#N,sa,((sa*1))*(1/1)
C571,3.706002,5.8588572,2.1528552,1.45,c1cc2c(c(c1)C#N)c1cc3c(cc1cc2)c1c(cccc1)cc3,s,((s))*(1/1)
